Valeur0 Valeur1 Valeur2 Valeur3 Valeur4 Valeur5
3.117002343518345597e+00 -5.423163631551758179e+00 -8.254446887154188062e+00 -7.978556772312931145e+00 3.574185749542166057e+00 -8.573498029084014149e+00
2.137931207708720471e+00 -2.512220301570601499e+00 -9.268330326696577970e+00 -9.204471094796714326e+00 3.980244357172117997e+00 -6.140552837311055612e+00
3.338843056222871919e+00 -3.073118814812844768e+00 -7.717881870709999426e+00 -9.344663999504037477e+00 4.541124799411349500e+00 -7.564327385732169340e+00
3.077372222626863163e+00 -2.771648662547232966e+00 -9.527914849825393162e+00 -7.252370585623171273e+00 2.675807691588694581e+00 -8.059232266782510479e+00
2.362778030993250233e+00 -3.179985089980989610e+00 -7.212298852389845472e+00 -8.189381620133449502e+00 4.522789546298073837e+00 -5.184877871402649774e+00
2.405029705477821356e+00 -3.402035220368014201e+00 -6.959084270227697822e+00 -5.781079426898649842e+00 4.168845863540139085e+00 -9.478478271644521058e+00
3.464077015593688635e+00 -5.097339316756638539e+00 -8.154787947315686125e+00 -1.025007514079654491e+01 5.972373086694091171e+00 -6.782634523150129269e+00
1.761571544317177995e+00 -5.059689280046561599e+00 -9.031298152882866859e+00 -9.171954321465571880e+00 5.183108736023591234e+00 -7.655922444647987213e+00
7.718226167894841616e-01 -4.491084164547654467e+00 -6.742515097633685173e+00 -8.251882468524360803e+00 3.491254149014870301e+00 -7.940269027737377527e+00
3.645262642579315315e+00 -4.118887338597426506e+00 -1.011766599283855328e+01 -8.000949711483320570e+00 4.221336084351920981e+00 -7.491674057825926880e+00
3.773038116969832156e+00 -2.255548178740025556e+00 -8.753867819178010379e+00 -9.785380969565638409e+00 4.560807896047966992e+00 -7.294016666208165134e+00
4.026809884269697548e+00 -3.131106048112416218e+00 -8.160214180124649275e+00 -1.096974664461973248e+01 4.617696273073359947e+00 -6.759431500638982016e+00
1.649414842816658844e+00 -3.973541975132095505e+00 -8.521913291355049935e+00 -6.550787854324874537e+00 4.156315173038548139e+00 -7.783111710943682482e+00
4.481507249102222090e+00 -4.209978658951814445e+00 -7.990838661378429464e+00 -8.194564284748670602e+00 3.884046142419274705e+00 -6.949372924340589286e+00
2.406672772152647077e+00 -3.874416848299719884e+00 -8.663882624121947984e+00 -9.620170290718506934e+00 3.175873174136500943e+00 -7.846763847569587114e+00
2.914294968642621164e+00 -3.887413200364611576e+00 -7.528491927336750322e+00 -8.052975854630268771e+00 5.263260027743255520e+00 -6.761384478666291997e+00
5.026204927890732144e+00 -2.595334284297400984e+00 -7.323869627315422903e+00 -9.890050818228523610e+00 5.168925681326255628e+00 -8.001232920199020882e+00
2.453278236516090338e+00 -3.487213039013729698e+00 -6.490868256638121281e+00 -1.024292956213499828e+01 5.568316500658763601e+00 -8.002271543952334198e+00
3.278972194490700431e+00 -3.902753195600934699e+00 -7.478767510056421486e+00 -8.448580428446234691e+00 5.272221088760121077e+00 -8.901330588449047454e+00
3.591727377986733138e+00 -5.086125489547196565e+00 -8.177114185393772772e+00 -7.836300208132926493e+00 6.075856490953068345e+00 -7.042006580321166886e+00
3.469366089518617358e+00 -4.131180936644780921e+00 -7.371593443517917343e+00 -8.221429088600453738e+00 3.966522155325074905e+00 -7.612108414390523770e+00
2.832753060809065637e+00 -2.545678981281031650e+00 -1.027553731805645043e+01 -8.653351155620857327e+00 5.086569246407914413e+00 -5.589342947452983879e+00
2.777809285559293073e+00 -3.970007285427178179e+00 -7.722984201541247096e+00 -8.476836268343616254e+00 4.359987277596570010e+00 -7.867449265129176972e+00
5.130293767327608556e+00 -2.057448897459892123e+00 -7.388864123875032774e+00 -7.997000978284987127e+00 5.121433188884918053e+00 -7.022923112764593689e+00
2.158510653936512647e+00 -2.382620034850181590e+00 -8.596019251516480608e+00 -7.725689145566996707e+00 1.268803621411463300e+00 -7.385631622771756888e+00
3.867847927575286171e+00 -1.696477304984397305e+00 -7.207505415976747543e+00 -8.856400779698292425e+00 4.723453799235411310e+00 -8.435028195248468919e+00
2.201361174388084763e+00 -3.552068989376623076e+00 -8.813222866357820706e+00 -7.373211792614416282e+00 4.171458055195535586e+00 -8.571173811175770041e+00
3.360430091402290209e+00 -3.771678582651862843e+00 -9.275639086202396300e+00 -9.259294551718308952e+00 4.635340537477176781e+00 -7.051859576119174022e+00
2.736651416930031111e+00 -3.416995639425726150e+00 -8.285123897218916511e+00 -7.910254001615791175e+00 3.321563645236121687e+00 -8.767945744841687983e+00
1.701668099266121281e+00 -3.850280944083439572e+00 -8.549499182183357249e+00 -7.004135828041968992e+00 2.282223379186717693e+00 -6.500344280644519301e+00
3.441580449777540629e+00 -4.742636756724674996e+00 -8.202724381431503176e+00 -1.015028254289173759e+01 3.903864282311583889e+00 -9.644666204833958645e+00
3.282042237069001445e+00 -1.889524194691504677e+00 -7.918421386225434233e+00 -7.238432247221597393e+00 4.461798541379883964e+00 -8.177420346673839546e+00
5.826405114831630705e+00 -3.519047377121202302e+00 -8.527911244818207948e+00 -6.506689786508832007e+00 5.055138858695521265e+00 -7.305718285038572901e+00
3.552472558491718502e+00 -2.237077453411209227e+00 -7.435772666047215651e+00 -8.794644491861280500e+00 3.739946078913431116e+00 -6.765780875333241795e+00
3.862355669132479186e+00 -3.348036994047186798e+00 -1.014811733694282481e+01 -8.812663549908412719e+00 3.682582024693453526e+00 -5.934411248471402445e+00
3.233977414357348756e+00 -2.066053654079217150e+00 -7.387995616953721978e+00 -8.646625563466367126e+00 3.407851630747420479e+00 -6.985686108318237331e+00
3.728961026965854408e+00 -3.195309081843087817e+00 -1.097537934402269855e+01 -8.192620160653419248e+00 3.782788424845956676e+00 -7.195057035132884415e+00
3.951687111857098866e+00 -2.162108260010882965e+00 -9.992404777003139671e+00 -8.691900365136810080e+00 5.768536076339966456e+00 -6.293748364983400734e+00
3.277855627798238913e+00 -3.504408006825838751e+00 -8.698645239704223542e+00 -9.908069617130751183e+00 5.323251598631874693e+00 -9.548973271819088282e+00
3.226729767554866957e+00 -3.109297809643127408e+00 -8.933371215211487026e+00 -7.465235378667792077e+00 4.773176926190489056e+00 -7.202164345759575426e+00
3.426536636087966770e+00 -4.613114955185325883e+00 -6.407974907024219569e+00 -6.823494891096846260e+00 5.805691317173550026e+00 -7.253174764765559779e+00
2.556567472464196022e+00 -3.491457549932890370e+00 -8.829703203381823684e+00 -9.174319212289972825e+00 5.396424664875270061e+00 -8.672470271595654978e+00
3.944373351953057050e+00 -6.381902085004050207e+00 -7.700894682557613891e+00 -8.619114603127165708e+00 3.089097566326478805e+00 -6.538521280275556791e+00
4.700030552771430337e+00 -5.228257197802125944e+00 -8.186126987769091201e+00 -1.005652516254727402e+01 5.252094339897357855e+00 -7.097800046620161396e+00
2.672787882104099566e+00 -3.653176930271917477e+00 -9.334613256702885664e+00 -8.109734367478580452e+00 3.310590128878474481e+00 -7.071791626977496747e+00
2.873475528469299878e+00 -4.626571731963077916e+00 -8.285950035356249188e+00 -9.782501043365579463e+00 3.710490948497703556e+00 -7.861842640293131623e+00
2.196910950816532093e+00 -2.906039352890302574e+00 -7.765823628249260757e+00 -7.932578963380717774e+00 5.182213525870600357e+00 -6.731764210003077231e+00
3.676125066108406170e+00 -5.247336042924439781e+00 -7.530793967501437258e+00 -9.209222131069392248e+00 4.697798105071029795e+00 -8.119631473886986583e+00
1.925413137244694317e+00 -3.041254746692693800e+00 -7.672182485238664640e+00 -8.272610706663503066e+00 5.650148330694271692e+00 -7.517994820633262520e+00
5.218719053927047824e-01 -3.465722699429302445e+00 -8.129524092506775546e+00 -8.093157370850160959e+00 5.578688085670993502e+00 -6.721866903285975248e+00
2.587643309704530825e+00 -4.218811283292255077e+00 -8.844176712581713673e+00 -8.175350598048687800e+00 4.464196882811546807e+00 -7.709855144846039288e+00
2.592498945924563536e+00 -3.091556503949176360e+00 -8.754701899249701214e+00 -7.901844617564155016e+00 5.019825943494502063e+00 -6.760708548031669096e+00
6.352470996159322425e+00 -2.759933587171639058e+00 -7.416413503977373978e+00 -9.767413795591668446e+00 4.487778125395640139e+00 -7.068320124189747311e+00
2.054436187823225346e+00 -4.515727599419640192e+00 -8.858622650482320893e+00 -1.055949106128567294e+01 3.589709380882235124e+00 -5.704961958513496967e+00
3.693782118599931774e+00 -3.779036681326428226e+00 -6.358339620148252713e+00 -1.038257741998623729e+01 5.248795035721030011e+00 -8.602917424121974577e+00
8.328242131620950950e-01 -2.754654920085129799e+00 -8.576117485671062468e+00 -9.809294084162909044e+00 3.586431267183482152e+00 -6.724945587801325786e+00
1.325922559762465092e+00 -4.291328309192483204e+00 -9.037522440036003246e+00 -8.880487140113370259e+00 4.857634502273720400e+00 -6.558789050890553085e+00
3.333519388999891753e+00 -3.240793297488757663e+00 -8.911706571672727506e+00 -8.821445269359294628e+00 3.622819426902070816e+00 -6.574142107378875721e+00
3.392241339950287760e+00 -5.000836254804262637e+00 -7.521656758974454071e+00 -8.256432056584991130e+00 5.421839252851398783e+00 -7.165966607013158018e+00
4.035644996945674023e+00 -5.263102737627075811e+00 -1.049320635151081405e+01 -1.025797359631078365e+01 5.526408628965436165e+00 -7.607709434393049364e+00
1.853007534650687793e+00 -4.967700346496027208e+00 -7.477226442013021668e+00 -8.698742629420463501e+00 3.605477301393711809e+00 -6.713607042954895299e+00
5.202278827795769445e+00 -1.494344499681082183e+00 -9.496724769495788365e+00 -9.168039239189196721e+00 3.130788280658529210e+00 -6.445078931986487625e+00
2.961928301378781825e+00 -5.034537249097311928e+00 -8.694677052955604779e+00 -8.916154761592572697e+00 4.662851457904513275e+00 -6.750690158719167222e+00
4.510468450422615128e+00 -4.396724552490581139e+00 -9.088592068715934502e+00 -7.561217518368947843e+00 3.634583356876614602e+00 -6.022722622682208815e+00
1.821952191282070421e+00 -2.566415291196141979e+00 -8.956577263079561035e+00 -9.363951946380693059e+00 5.393375500894801000e+00 -6.870561325447027912e+00
1.890631516897517850e+00 -6.215877012826473091e+00 -8.423595701828627824e+00 -8.923532708871467989e+00 7.037806913631774464e+00 -6.802213750058972330e+00
1.263920081991487532e+00 -2.989267642779672052e+00 -6.395189916573469802e+00 -9.514133318657512106e+00 3.983865367840668803e+00 -5.420923468469344364e+00
2.435678328689546035e+00 -4.214883383581432774e+00 -5.235747995355998441e+00 -7.603315491202221388e+00 5.008107180421186300e+00 -7.078970222077508367e+00
2.176255194014744099e+00 -5.177063334111831061e+00 -9.707366514863457141e+00 -7.424963687736192419e+00 4.578142081155229803e+00 -5.502037338511119202e+00
6.602566838532295534e+00 4.591512390128137611e+00 -1.069860121080786186e+01 2.362826223017494787e+00 -3.305939725318104205e+00 -3.102541706176721981e+00
6.283227769995153977e+00 5.267094614079003811e+00 -1.148116718907576406e+01 -3.091697185233905909e-01 -4.612370103707033486e+00 -1.790069167782578630e+00
7.806502066937480500e+00 4.141203671236175943e+00 -1.290913977710398264e+01 9.591375692174508583e-01 -4.692718392708225217e+00 -1.980721832359260137e+00
6.492437645210862307e+00 7.235678764116197925e+00 -1.242561775148382708e+01 2.016182759176234018e+00 -3.384120674543517726e+00 -3.013107255332091672e+00
7.626347289421236297e+00 4.421902049110659760e+00 -1.179293285884209119e+01 3.984484958697633861e-01 -4.911581753949065821e+00 -9.108358984508861944e-01
7.032293911183263191e+00 4.461651841950364350e+00 -1.314315720644083108e+01 -1.023238792237484152e-01 -6.845176811109393356e+00 -1.642894898658467273e+00
5.780550725308584603e+00 5.015653138495629548e+00 -1.253143419846387374e+01 2.131254896920046882e+00 -5.675709283413588935e+00 -3.296124622326008335e+00
7.948718622013398516e+00 5.341948762445205112e+00 -1.072396525011606983e+01 1.267125656534396683e+00 -5.457015369718068776e+00 -2.864984472720700559e+00
6.769666637974227186e+00 6.410898560435617455e+00 -1.192125040835547445e+01 1.489851223416260861e-01 -4.080072748394971249e+00 -3.602871205053718384e+00
5.526384932601369648e+00 3.488893362743394455e+00 -1.136202126312943328e+01 2.743631580719196883e-01 -5.251083539924406907e+00 -1.892590829582071033e+00
8.495224600755205913e+00 4.734769302862013696e+00 -1.308426949343099999e+01 5.241356025393109075e-01 -4.023560142857744992e+00 -3.181232659572293731e+00
7.517484307339885596e+00 6.503373776040405119e+00 -1.214866089259575155e+01 1.724400520913169643e+00 -3.689429315471125292e+00 -2.677678935985882358e+00
8.063281191087646960e+00 5.158572282344109361e+00 -1.100635276939473606e+01 1.374772393014950911e+00 -4.325341234624695552e+00 -4.296192091556168435e+00
8.720136294219759776e+00 4.017565315740625032e+00 -1.180305842283346074e+01 -8.470909016689072146e-01 -4.245772390766719084e+00 -3.682302486300140565e+00
6.889849378149317971e+00 4.791749153184444943e+00 -1.244163373657722893e+01 1.252595191685261122e+00 -4.635199844588443696e+00 -2.274651264230548087e+00
8.175852096892207044e+00 3.940589068829466690e+00 -1.311824127228099357e+01 -1.021801240039361236e+00 -4.981921321722068363e+00 -9.221649866882049018e-01
7.157573794268127010e+00 4.257086994822423698e+00 -1.327244580494154746e+01 3.576114314456877441e-01 -7.403708347782441024e+00 -3.507543343076026776e+00
8.655897425342450546e+00 7.087768562523151239e+00 -1.251375800214421119e+01 1.626414812800959897e+00 -5.530025335670966768e+00 -2.427911536314804053e+00
7.905580321038765845e+00 5.397287903145446819e+00 -1.194917148262206830e+01 -7.501680176812564049e-01 -5.330569243520246303e+00 -3.272524653862301403e+00
7.708368793296535237e+00 3.597660560068568714e+00 -1.270624977794057209e+01 -9.999760055755868571e-01 -5.168292063788454627e+00 -2.892300898501911632e+00
6.079965017510907010e+00 4.876025311263422424e+00 -1.090467721749098295e+01 1.317547723438519780e+00 -5.083287661394344958e+00 -3.776791351295432975e+00
6.403050674509832341e+00 4.130387295146990212e+00 -1.188750142219831218e+01 7.476707989115600750e-01 -4.472614960899249148e+00 -2.227741192530555470e+00
6.466849770339079484e+00 4.862508322879601330e+00 -1.058081959997872623e+01 1.596063487128350999e+00 -5.000693071466178807e+00 -2.970044687531760097e+00
7.658408846698387507e+00 4.699503197674360422e+00 -1.166014934894804611e+01 5.381567380841193460e-01 -4.614877995718688730e+00 -3.687036710390097394e+00
8.238341960113666929e+00 4.407521987544344100e+00 -1.232083403136305932e+01 1.419486113158162865e+00 -5.600644666126097349e+00 -3.468304162353165410e+00
9.012579779085012177e+00 3.761463738243521870e+00 -1.180062039860091261e+01 1.523708410110720779e+00 -4.662884052038208438e+00 -1.898081961882301050e+00
6.767696855111720922e+00 5.686621156274759059e+00 -1.219702858211488028e+01 8.189905210069761132e-01 -4.766100577588628262e+00 -1.657957868496431564e+00
8.043238467336573549e+00 4.545844605078762868e+00 -1.345130253292719935e+01 1.107208277924471851e-01 -5.288690339946570340e+00 -4.120102254258299013e+00
8.145396097412527681e+00 4.599223651119661582e+00 -1.208226081582405875e+01 2.247107612613827854e+00 -5.081388489641312844e+00 -3.768685151255577015e+00
7.200875622154243594e+00 5.759341544560429682e+00 -1.324424417264352449e+01 -1.431179376912528056e+00 -3.265220344519502937e+00 -4.615074754432998638e+00
7.469297224387622336e+00 6.063946462986133490e+00 -1.048838073427907958e+01 3.505496342263391130e-01 -6.198356548544766476e+00 -2.422801716870160771e+00
9.495066402308747655e+00 4.978062096930774949e+00 -1.232707133582123760e+01 5.626716471170516431e-01 -4.586876609475273092e+00 -2.023578004033957267e+00
7.627443470788993984e+00 4.198931346987255786e+00 -1.268734772927191656e+01 2.275446655759385095e+00 -5.222675257468780252e+00 -3.247897303793165324e+00
7.125892305521158043e+00 3.440493123936460229e+00 -1.248390726422614705e+01 1.363798494416573526e+00 -3.838835920635505605e+00 -2.533378054284233016e+00
5.890901503135034467e+00 6.094448671230290770e+00 -1.276964233708432594e+01 3.347650679035680366e+00 -4.743167080683751813e+00 -1.046820910545084526e+00
8.256807316161415500e+00 4.345723796837358321e+00 -1.051146118226239246e+01 1.099681809722633741e+00 -3.537238662865145766e+00 -4.107880577914407638e+00
5.867352621846159799e+00 5.216920217273294469e+00 -9.381379386417382449e+00 2.351340265239350025e+00 -6.486933365549347741e+00 -1.688197946349023093e+00
6.026576385403389580e+00 5.433114735677030183e+00 -1.298733151759026505e+01 3.047447794080447858e-01 -4.343275412722705120e+00 -2.897257034717927837e+00
8.184559750560538305e+00 5.417052382241209330e+00 -1.368804637744097086e+01 1.401960166404163211e+00 -3.392372259795491285e+00 -3.952470458209524473e+00
7.556767502220001376e+00 5.262579926555586596e+00 -1.214898131650272717e+01 1.668056025939904430e+00 -5.235567585674528068e+00 -4.704844491815030949e+00
6.975871647905782069e+00 3.819259517354222311e+00 -1.067053423117488720e+01 3.386553815576199167e+00 -4.113127384249133378e+00 -3.485741693944217623e+00
6.677381160916370462e+00 4.287258390925984486e+00 -1.079690086246866443e+01 1.850272028810548530e+00 -4.088809246201667413e+00 -2.815543749400999385e+00
7.302698722837773104e+00 4.973580005756014444e+00 -1.153335668821084248e+01 3.636635412352655194e+00 -4.081102478092526908e+00 -2.236884036360213379e+00
8.227723809396838561e+00 5.502622633483216674e+00 -1.124444579149672663e+01 6.113418702908771651e-01 -4.218026353739526613e+00 -3.444539328100038933e+00
8.135199492142827893e+00 5.286309527358040050e+00 -1.336390242888572821e+01 -4.136587897425751947e-01 -5.815233863816238191e+00 -4.482262939108522026e+00
8.770429309642070237e+00 3.308494660206073856e+00 -1.041264271564730670e+01 1.058696033359183941e+00 -5.255687647956944986e+00 -4.984295727241182306e+00
6.736040804595300635e+00 4.517660957670392108e+00 -1.225599927766559283e+01 1.294938733481949322e+00 -4.417274409639652788e+00 -3.890721960897588261e+00
6.220947915732800482e+00 5.470611220032859379e+00 -1.156384691748629301e+01 2.485365049623065925e+00 -5.671792619088653176e+00 -4.737442430945150385e+00
7.876617059784889463e+00 3.607214841408194150e+00 -1.163391941202041835e+01 5.685423007887819846e-01 -4.714661768597865787e+00 -4.504838356093997298e+00
6.975841977006842498e+00 5.049880644845220701e+00 -1.197773845541351179e+01 2.033864592968710028e+00 -4.472062292745226486e+00 -3.691906884219689822e+00
6.093817065881134809e+00 5.600188648485262100e+00 -1.287266907082913647e+01 -7.480047524870765407e-01 -4.089011919086932068e+00 -2.154570232349150238e+00
7.625497337988388580e+00 3.980226194036549536e+00 -1.091048441574455374e+01 2.103773444432797568e+00 -4.132428814342614665e+00 -2.979148607087836353e+00
6.278591172117806707e+00 4.696344504309388768e+00 -1.360114047735369525e+01 1.872244485457134733e+00 -6.039008172832114774e+00 -2.957140024823577740e+00
6.863736192347065668e+00 5.970136911970261195e+00 -1.281035490233724516e+01 -9.483679101091047059e-03 -4.624914559759914390e+00 -3.158897525811053875e+00
7.286886613356651665e+00 5.873190499997191338e+00 -1.357076840104932813e+01 2.279354002686862835e+00 -4.816365031843224287e+00 -2.851718519564375942e+00
6.120990783130400459e+00 5.898325829886684524e+00 -1.243525335595701442e+01 1.681538787907217447e+00 -4.531066675772647656e+00 -2.918272608533929002e+00
7.708856113403959043e+00 3.342101059779547079e+00 -1.259567504748837052e+01 1.663675104258907078e+00 -6.408232095716083876e+00 -3.747211830006701661e+00
6.552014244451187075e+00 6.209392753582731572e+00 -1.185009655440444831e+01 2.688537572656889418e-01 -3.925273814048033660e+00 -2.515852306461006549e+00
8.257077810677786900e+00 5.728586429254033163e+00 -1.004291414094170776e+01 -1.358415951904079488e-01 -4.818031134523865333e+00 -3.949796916207490849e+00
7.353515970212619379e+00 5.567434019322659466e+00 -8.996011480634770408e+00 4.479316292413548783e-01 -2.651794312925800146e+00 -2.991138326252322344e+00
6.907477203022324375e+00 4.069611045036995556e+00 -1.047348396442077778e+01 -8.570871407095390637e-01 -5.515948098542508227e+00 -2.386820890962825459e+00
8.003133294037425571e+00 4.138718137105508177e+00 -1.197697159457305816e+01 -3.089395002964723247e-02 -5.200563874762133665e+00 -4.358885011248761820e+00
7.211442953310055692e+00 4.383196945127105337e+00 -1.427251352447836830e+01 1.473111010426295664e-01 -5.077145541777062121e+00 -4.366301066349382864e+00
8.970935556753596885e+00 4.256042664577660339e+00 -1.110034133861644534e+01 3.695972011485431974e+00 -5.551163403933636609e+00 -2.649835702626277545e+00
8.271656232954788024e+00 3.465249041961528498e+00 -1.193086631301742528e+01 2.694997685672519516e+00 -3.969244737353642805e+00 -4.085745865680124211e+00
7.990658804923960190e+00 4.077449486762395381e+00 -1.122926167492454397e+01 5.607508304037683855e-01 -4.264964764586573587e+00 -3.951357388922607683e+00
5.980720904214905431e+00 5.837379647558293527e+00 -1.295529006569279318e+01 6.564516870154957218e-02 -5.746440538966421485e+00 -2.825851305095946842e+00
6.951282877411947503e+00 3.560177554697362190e+00 -1.400079044388781213e+01 2.856565437875651980e+00 -3.948846414740298627e+00 -3.076704149053088422e+00
8.113174508488867787e+00 3.345514866011743749e+00 -1.187186406652524084e+01 3.406412399289887594e-01 -5.516652556885885517e+00 -3.282762248217155676e+00
8.548465129148384634e+00 5.855205179295862372e+00 -1.342889019833614128e+01 2.364548609242345556e+00 -5.994359907084959360e+00 -3.110995191185944808e+00
7.918719618561005369e+00 5.186720431768478079e+00 -1.122625419607515873e+01 7.731803659307949772e-01 -3.525938342507441536e+00 -3.705972494556857733e+00
9.709045364580122239e+00 4.703707678769768030e+00 -1.236746765669367676e+01 3.265005081799876585e-01 -4.526339473071638864e+00 -4.177157247284548625e+00
7.220637241374809001e+00 6.208790431961287659e+00 -1.235388034344359021e+01 -1.139713278257525886e-01 -3.998141382542317324e+00 -3.259857212228407075e+00
7.441572479476433521e+00 5.538765245425656403e+00 -1.196975289440013412e+01 2.540196764724452771e-01 -4.756489732491610667e+00 -3.290920248586923780e+00
7.894216917218658480e+00 5.120260701505379153e+00 -1.130345673641136450e+01 2.303163974583135598e+00 -6.294927871038869860e+00 -3.615277724801109649e+00
8.653856130301797123e+00 4.556542416465399370e+00 -1.107970669829161814e+01 1.242290383345568294e+00 -6.282977172079679207e+00 -4.383785883744285350e+00
7.643270265340417424e+00 3.404506148585799696e+00 -1.206280371870321844e+01 1.229532908578751860e+00 -4.422781092827595018e+00 -2.980570995204041118e+00
5.951803460469153428e+00 4.394933385058784836e+00 -1.216399592356847137e+01 -1.102543704227476162e+00 -4.331481676372372469e+00 -2.914887184679169074e+00
6.516093862619156241e+00 4.053836042948308460e+00 -1.373573084625657614e+01 2.303525362892602679e+00 -5.349535079465843168e+00 -3.630528734422888260e+00
9.013783936337096847e+00 5.301254960041132058e+00 -1.137999000440574626e+01 2.333491808056180616e+00 -5.736401746755533715e+00 -8.127255250447520396e-01
7.265638828848690167e+00 4.516561809284715956e+00 -1.176295279887023781e+01 1.393604808471814005e+00 -6.009963599226068709e+00 -3.119313283624429722e+00
5.480037957968127316e+00 5.098677760120144065e+00 -1.364034907630169258e+01 4.564634655351325065e-01 -4.433148507434229835e+00 -3.835901449390052065e+00
6.769221790244654535e+00 4.820818673041165070e+00 -1.366464726476994507e+01 5.752144670146236427e-01 -4.936835602532534395e+00 -2.396528113381172886e+00
7.737527078643074319e+00 5.880675376751415051e+00 -1.129995508909782131e+01 5.316468091313143463e-01 -3.883634709575601196e+00 -2.472408153699863220e+00
6.326701390390495838e+00 7.320623074072957870e+00 -1.068104187739012900e+01 2.374373475238600761e+00 -4.375612810182914814e+00 -2.653335269326069668e+00
1.393668099766384927e+01 7.561122368944246386e-01 -5.876576789439694082e+00 8.275954898300474483e+00 5.038352752018409930e+00 6.497652046688811467e+00
1.140682237982358060e+01 7.039013746877815780e-01 -8.680478599430252018e+00 8.845001019010249266e+00 6.462383920999096532e+00 5.456518807029391738e+00
1.436775586979263331e+01 -1.623649535320144555e+00 -7.941945862939303602e+00 7.698029985667171005e+00 6.476536447424114051e+00 3.967182273274790116e+00
1.250123910535297433e+01 9.204153025345429562e-02 -6.620775061945355588e+00 8.253379922822105641e+00 6.133312047952458101e+00 7.144569786250309917e+00
1.358614010072183120e+01 -1.359481408777346356e+00 -6.734071200014293268e+00 9.929449432083563565e+00 4.597017770521385494e+00 6.527095281916214908e+00
1.325313361323974171e+01 -9.645333220739120694e-01 -6.204405383188557721e+00 5.588346557209616705e+00 5.506350652935035228e+00 5.200763662687644562e+00
1.169229635634082065e+01 -7.215774450514100824e-01 -7.453680810628438458e+00 8.416087621868218349e+00 4.735554260063636889e+00 5.784418605341592468e+00
